""	"textOriginal"
"3046"	"Kesini cuma mau tertawa🤣😂"
"3047"	"Kesini cuman liat nih bupati ketangkap oleh KPK"
"3048"	"KETANGKEP KAN"
"3049"	"Ketangkep kpk jg. Kebanyakan gaya"
"3050"	"Ketangkep wkwk"
"3051"	"Kita dukung pemindahan ibu kota.
Utk masa depan indonesia yg lebih baik dan indonesia sentris.. Jgn semua berpusat di jawa saja. Plus - minus selalu ada dalam setiap kebijakan.
Tetapi ambillah..yg lebih banyak manfaatnya.. Utk indonesia secara luas dan.. Masa depan..! Sumatra,jawa, nusa tenggara hingga papua rawan gempa dan.. Pengaruh perubahan iklim. Kalimantanasih anal benua. Lebih baiklah.. Utk sementara dg daerah lain dalam segi itu..!"
"3052"	"Kita liat aja nani apa efek dari IKN"
"3053"	"Kita lihat apakah pemimpin daerah bisa dan mampu membela masyarakatnya"
"3054"	"Kita lihat nanti kepedepan nya apakah sesuaai dengan ucapan pemerintah dan jikalau tidak sesuai dengan ucapan pemerintah kami juga punya hak untuk membatalkan atau meminta mempertanggung jawaban 
.
KAMI TIDAK MASALAH IBU KOTA PINDAH KE KALIMANTAN TAPI JANGAN KALIAN RUSAK HUTAN KALIMANTAN"
"3055"	"Klaw di tempat kami daerah sumbar 
Lebi pertahan kan tana lahan pertanian 
Karna masarakat berfikir 
Untuk kedepan nya generasi selajut nya 
Karana pertubuhan manusia semakin banyak
,Kloh menilai ,silakan lihat kampung miliader ,medadak kaya dan ahir nya sensara 
\"Uang segunung 
Mudah untuk menghabis kan nya 
Tana sepetak tanamila pisang 
Gak laku di jual ,rebus dan makan la beramai ramai"
"3056"	"Klo yang tdk ada dampaknya ya pindah ke Mars tp itu juga akan bersaing dengan Elon Musk yg sdh punya lokasi transmigrasi di sana"
"3057"	"klu aktifis pasti pendapat kurang stuju.. alias  satu aliran sm ente najwa. justru   ibu kota pndah ksitu agar pmerintah gampang mengontrol bos"
"3058"	"Klw ga dengar pemerintah pusat kan bisa di copot 😅"
"3059"	"Kok bsa blg so cool. Kami lebih tau bupati kami"
"3060"	"Kok jadi PSU ?"
"3061"	"Kok ketawa ketawa si pak bupati..."
"3062"	"Kolo menurut saya si ,bangun skolahan ,bangun pasar induk 
Bangun masarakat yg mampu mengelolah ,pertanian dengan moderen dan lekapi fasilitas kesehatan
Dari pada bangun ibukota baru 
Mala bikin lahan pertanian kurang"
"3063"	"Kompor"
"3064"	"Kompor"
"3065"	"Konyol banget, masa pemerintah daerah gatau ngapain pemerintah pusat disitu.. ahhaha aneh tapi nyata"
"3066"	"Koreksi buat Admin.. Yg bener PPU bukan PSU.. Makasih"
"3067"	"Korupsi dong si Ghofur 🤣"
"3068"	"Korupsi nihh? 🙄"
"3069"	"Koruptor"
"3070"	"KoruptorrrrRRrrr"
"3071"	"Ktinggalan berita ini org"
"3072"	"Layanan fungsi alam yg harus dibenarkan dahulu. Soal edukasi, naikkan kualitas SDM masyarakat kalimantan. 
Kajian ilmiah ditemukan dulu. Jangan dipaksakan diputuskan dlu, baru datanya dibuat.

Gitu ga si rangkuman dr part ini"
"3073"	"Lestarikan alam hanya celoteh belaka."
"3074"	"lol kena tangkap"
"3075"	"Lu orng mna?"
"3076"	"Maaf menjadi penonton tapi 🙏"
"3077"	"Maaf, tapi saya lihat aktifis yang menjadi narasumbernya kurang bermutu.
Cari yang lebih bisa pinter ngomong dan menjelaskan.
Yang betul betul bisa menyampaikan aspirasi masyarakat dan lingkungan."
"3078"	"Maen setuju ajeh ... noh ditangkep Bupatinya"
"3079"	"Makan tu banjir Jakarta 🤣🤣🤣🤸"
"3080"	"Maksudnya mungkin sosok pemimpin yg kena OTT wkwkwkkkkk 😭😭😭😭tt"
"3081"	"Maksudnya setuju sama orang yang bilang pendidikan harus disetarakan dulu sama pemuda2 dari jawa atau dari luar supaya tidak kalah saing..?? Ya gimana mau bangun kampus atau pendidikan yang lebih layak kalau lokasinya aja masih hutan dan gak ada akses yang bisa memudahkan sarana pendidikan disana sama bagusnya kaya dijawa"
"3082"	"MALIINNGGGGG"
"3083"	"Maling maling...ketangkap kpk"
"3084"	"Malu maluin orang Batak lu  , pembangunan itu tujuannya apa, ya mensejahterakan masayarakat, kalau tidak melibatkan masyarakat mau melibatkan siapa lagi, memangnya penghuni ibukota itu jin atau jangan jangan orang asing  ???."
"3085"	"Mantap di cokok KPK"
"3086"	"Mantap ikn , perlu pemerataan  hilangkan indonesia identik dgn pulau Jawa/Jawa centris"
"3087"	"Mantap kawan ku"
"3088"	"Mantap pak bupati...semoga pemindahan ibu kota baru cepat terealisasi...sudah saat nya pembangunan di indonesia merata,dan kedepan nya semoga suku2 yg di dluar jawa dapat bersaing untuk memimpin indonesia.."
"3089"	"Mantap pak bupati
Semoga bahagia di penjara"
"3090"	"Masa depan kpk 😅"
"3091"	"Masa tidak tahu masyarakat nya di daerah situ pak,kok bisa"
"3092"	"Masalahnya jika tidak segera pindah jakarta tenggelam lalu gimana solusinya."
"3093"	"Masyarakat adat bukan menolak pembangunan dan menginginkan semua keinginan nya di penuhi,tapi mereka menginginkan kepastian terhadap nasib mereka dan win win solution dari pemerintah! Jangan hanya memutuskan kalau masyarakat mengkritik berarti menolak semua kebijakan!"
"3094"	"mati haja jua akhirnya"
"3095"	"Mba sekarang di 2021, kuota beasiswa di kurangi, bahkan di samarinda cuma dikuotakan 5 orang saja, itu untuk beasiswa ppu, kalau yg 1001 sarjana juga bnyak di manipulasi oleh pemerintah desa 🙏"
"3096"	"Mbak atau Tante Jerman itu deketnya Surakarta itu ya 🤭"
"3097"	"mbak nana apa perbedaan tanah leluhur dan bumi,air adalah milik negara?"
"3098"	"Mbak nana itu kan kerja intip kesalahan orang bukan cari solusi..."
"3099"	"Memang beda pemikiran LSM dan pemerintah , kalau dipikir di kota suci Makkah  dekat Masjidil haram harusnya nggak ada hotel di Hyatt tapi nyatanya sudah dibangun , Najwa Shihab kok diam saja."
"3100"	"Memangnya semua yg Jokowi perhitungkan sama dengan fakta lapangan? Apa kamu bisa jamin itu?"
"3101"	"Memanusiakan dulu manusianya ,, itulo yg kudu kamu dahulukan pemerintah pusat ,, sepintar pintarnya orang kalo tidak punya adab itu pasti dianggap orang bodoh .
Apalagi kalo megaproyek ini nantinya akan terjadi apa yg dikatakan warga setempat . 
Kualaat kau pemerintah ."
"3102"	"Membabat habis ratusan ribu hektar hutan untuk supaya ada lapangan pekerjaan... ? Wah becanda nih... Kesejahteraan Rakyat tidak hanya sebatas Uang... Kalau hanya dengan kekayaan alam mereka sejahtera ngapain di recok\" kin... Paling nanti duit nya di pake untuk beli kebutuhan hidup dari hasil alam juga wkwkwk tapi alam negara tetangga 🤔🤣"
"3103"	"Mencari cari yg d depan matanya nya tak dilihat yg d sebrang lautan yg d sibuk2 kan dasar anjing2 nya kadrun bertopeng kebohongan dan hoak"
"3104"	"Mendekam dipenjara Bupatinya :D"
"3105"	"Mendengar dari awal pembicaraan Mbak Nana dengan Pak Bupati setempat, sepertinya tdk pernah konsen menyinggung terkait solusi akan di kemanakan Masyarakat2 yang tinggal diatas tanah HGU atau HG apalah namanya itu. Dia hanya fokus pada bayangan2 tentang kesejahteraan kalimantan ketika teralisasi menjadi IBU KOTA, soal lapangan kerjalah dsbnya. Sementara keberadaan Ketua adat dan masyarakat lain seolah benar-benar tdk di indahkan kehadirannya.
Biasanya, jika di awal sudah tidak baik, maka sampai di akhir akan tetap tidak baik. 
Kalimantan yang dikenal sebagai paru-paru dunia, sepertinya tengah terjangkit kanker paru-paru stadium satu tapi bukan karena menjadi perokok aktif, tetapi akibat dari keinginan beberapa orang yang berkuasa dan terlalu pasif."
"3106"	"Menebang hutan aj itu udah dampak buruk..."
"3107"	"Menurut saya lebih baik IKN baru tetap di jawa.. Tepatnya jawa tengah karena nantinya kereta cepat bisa berfungsi maksimal setelah Bandung, IKN baru, kemudian ke Jogjakarta dan Surabaya... Lebih baik Kalimantan dijaga alamnya karena sangat penting bagi kehidupan seluruh dunia beri juga kesejahteraan buat masyarakat adat yang rela hidup seadanya tanpa merusak alam..."
"3108"	"menurut sya spa yg mw bersaing ppu akan maju ..."
"3109"	"Mereka dah banyak kerja, bukan mencari kerja lagi,"
"3110"	"Mereka tidak di beri tau dampak woiiii !! Pemberintah sudah bialng tidak sosilasi dan masih di kaji woiii"
"3111"	"Mereka yg merencanakan, melaksanakan dan mendukung, sejarah akan mencatat anda semua. Jadi jangan lari apabila segalanya tidak berjalan seindah janji."
"3112"	"Mestinya ada jaminan, seluruh masyarakat yang tergusur akan dijadikan ASN pemkot"
"3113"	"mf mslah fsilitas minim karna perintahan dlu yg d kerjaan hanya proyek2nya yg oknumnya pro sma mereka... cntoh seperti pembangunan jalan dmana suatu daerah yg tdk mndukung pemerintahn dlu tidk akan ada pembngunan jalan... gmna perubahan mw maju klo dsna hanya oknum2 yg berkuasa .. masyarakat kecil pasti diam aj"
"3114"	"mf ya .. ini pembangunn ibukota bnyak yg bilang akan banjir n panas ... sebenar nya yg merusak itu tambang batu bara ... dlu tambang bara blom ada d samboja tdk ada bnjir stelah ada batubara jgnkn jlnan bnjir waduk samboja aja sekrang sdh trkena imbas dri batu bara.."
"3115"	"Mohon diBedain pak antara HGU sama IUPHHK..its totally different"
"3116"	"Muda, Tampan eh ya di ciduk KaPeKa"
"3117"	"Mugkin menurut mbak nana dan para aktivis bayaran, ikn ttp di jakarta saja ya"
"3118"	"Mungkin karena terlalu kritis, sampe terciduk beliau ini, atau memang udah nggak bener dari awal.. 😅😅😅"
"3119"	"Nah bener tu, setarakan dulu pendikan nya biar bisa bersaing, klo pendidikan aj beda, ujung2 masarakat kena tipu lagi"
"3120"	"Nah ini baru pemikiran yang maju dan cerdas."
"3121"	"Najwa aku mencintaimu aja deh."
"3122"	"Najwa itu Pura pura budeg dan tuli.
Jokowi sdh memperhitungkan.
Segalanya.. memprovokasi dan mempraming.. ke hal buruk. Ayo pesimislah  lihat kedepan kemasa depan."
"3123"	"Najwa kan lagi jualan, barankali bisa laris. Lagi nyari bintang iklannya"
"3124"	"Najwa ko makeUpnya tua banget sih? hehe"
"3125"	"Najwa kok di lawan..."
"3126"	"Najwa nara sumber kelaparan apa yg mau dikaji"
"3127"	"Najwa sang propokator masyarakat"
"3128"	"Najwa... berubah
bau Sangittt...."
"3129"	"Najwa... jd begini..????"
"3130"	"Nampak gerogi tu bupati, keliatan kualitasnya 😂"
"3131"	"Nampak ketidak seriusan dalam persiapan dan pelaksanaannya, sungguh miris, masyarakat adat dan lingkungan seharusnya menjadi stakeholder utama tapi diabaikan.. yang dipikirkan hanya benefit yang pastinya akan dinikmati orang-orang yang status ekonominya tinggi.. menyedihkan.."
"3132"	"nanti ada lapangan kerja untuk jadi OB kalau kantor2 sudah buka yaa..."
"3133"	"Nanti cuman jawa centris aja mas.. gimana rupiah mau naik kalo pembangunan tidak merata.. kalimantan sudah tepat mas.."
"3134"	"Ndak usah pada ribut...kita tonton aja....kan menarik"
"3135"	"Negara bagus tapi habis itu jadi punya china"
"3136"	"Negara ini bikin gaduh terus...udah hutang segunung, rakyat dibuat gak nyaman...ckckck..dosa ya besar banget"
"3137"	"Ngapain dibahas, orang semua media jg ngulasnya yg bagus2 saja, justru media ini muncul Sog pembanding, cover both story bukan hanya dr sisi pemerintah. Apa sih yg dimaui rezim sekarang yg ga bisa terwujud???"
"3138"	"NGELES MULU NIH"
"3139"	"ngeles mulu ternyata dibelakang dapet cuan buat dikorupsi anj"
"3140"	"Nggak punya konsep"
"3141"	"Ngomong sok iye lu bupati, keciduk KPK kan akhirnya??? Bwahahaha, typical pejabat yg ngomong sok iye depan masyrakat, dibelakang nya ngeruk kekayaan pribadi sebanyak2nya, udh muak liat org2 yg typical nya kaya gini"
"3142"	"Ni aktivitas di Kalimantan Timur, bukan Jakarta sono.. ngapain ngurus d sana? nggak nyambung"
"3143"	"Ni pak bupati korupsi apa ya , di tangkap kpk??"
"3144"	"Ntar dicopot kalo ngak nurut 🤣🤣🤣"
"3145"	"Ohhh ini 😂"
"3146"	"Ohhh ternyata......"
"3147"	"Oia kan Anies gubernur Indonesia ya wkwkk"
"3148"	"ONGKANG ONGKANG KAKI AJA ENAK
mau jelasin apa...
DIA mau dpt bocoran wilayah"
"3149"	"Orang yang tidak ingin maju dan berkembang bicaranya ya begitu... Kualitas pikirannya memang terbatas."
"3150"	"Orangnya sekarang ditangkap KPK 😀"
"3151"	"Orangnya sudah kena ott kpk wkwkwk 
Wajahnya aja yg polos"
"3152"	"otak dankal....ga ngerti"
"3153"	"Ott"
"3154"	"OTT bung"
"3155"	"OTT KPK 😂"
"3156"	"OTT nih yeee..... pebisnis main pemerintahan gak ada basic ya gini dah jadinya..."
"3157"	"Owh ini yg kena ott kpk"
"3158"	"p. bupati..  sy bagi dooonk...  jgn pelit ya paak... please....😂😂"
"3159"	"Pak bupati nya bilang HANYA AKAN MEMBERI DAMPAK POSITIF  sama sekali gak bener pasti ada banyak dampak negatif nya 😂"
"3160"	"Pak bupati paser utara ganteng dan sebagai kader demokrat jago mewarisi kepiawaian kader2 demokrat dalam korupsi dan akhirnya ditangkap KPK bersama bendum partai demokrat"
"3161"	"pak bupati pendapat2 nya terlalu teoritis.....hadoh"
"3162"	"Pak Bupati Telat................. selalu bilang akan diselesaikan dan akan dijelaskan. 
kalau setelah disyahkan untuk apa lagi dibicarakan dengan warga suku."
"3163"	"Pak bupati tidak mengerti permasalahan rakyat kecil...."
"3164"	"Pantes ngomongnya slengean, koruptor toh"
"3165"	"pantesan gue liat2 koq mirip di acara matanajawa, rupanya ini orang yang kena OTT KPK.. wkwkwk sudah biasa"
"3166"	"Pantesan rusak, izin sll gampang. Pada milih pemimpinnya merem atau gimana? 😂😂😂😂"
"3167"	"Paru paru dunia dimana iaaa"
"3168"	"Pasti di geser masyarakat di sekitar situ...😒 Sungguh di sayangkan aturan jaman sekarng masyarakat yg selalu di lenyapkan......😭😭😭😕😒"
"3169"	"Pasti tersingkirkan dan di ganti dg hotel mewah"
"3170"	"Pejabat daerah selalu saja menunggu arahan.. petunjuk... perintah. 
Seharusnya Pemerintah Daerah berbuat untuk rakyatnya terutama yang terkena dampak. 
Masyarakat Adat jangan dipandang dari sisi ekonomi makro yang menjanjikan saja. 
Masyarakat Adat hidup sebagai bagian Alam... jangan dirubah. 
Lihat masyarakat Bali mereka tetap tegar dengan budaya ekonomi mereka."
"3171"	"Pembangunan gak semua berbentuk bangunan Pak. Wkwkwkwwkk
Sdm, infrastruktur minimal ada, walau gak mesti sama. Karena setiap daerah punya khasnya masing2. Jakarta kota nya, biarkan Kalimantan menyeimbangkan dengan hutannya. Gak mesti semua jadi betooonnn."
"3172"	"Pembangunan IKN masih dalam tahap Kajian Perencanaan.
Jangan berfikir primitif dan kemunduran."
"3173"	"Pembangunan IKN memberi dampak positif bagi warga, hari ini kena OTT 😂"
"3174"	"Pembangunan infrastruktur yg sekarang adalah kelas lokal dan regional , IKN jadi semua infrastruktur nya naik ke menjadi kelas Nasional dan Internasional  menyesuaikan kebutuhan, mulai dari kesehatan, pendidikan, tranportasi, pelabuhan dan bandara ini yg akan terjadi nanti nya."
"3175"	"Pembangunan itu tidak mempunyai dampak baik, bila penduduk setempat tidak dikembangkan sumberdaya manusianya. Terjadinya kota baru maka harga lahan tinggi dan yg sanggup itu oleh kolomerat."
"3176"	"Pembebasan lahan, lowongan pekerjaan is bullshit."
"3177"	"Pemerintah sekarang hanya mau mendengarkan... Dirinya sendiri"
"3178"	"Pemerintah siapkan dulu rencana besar, pindah IKN
Mencari lokasi termasuk masalah lahan, akses yg sdh ada, bandara, pelabuhan, jalan dsb baru tetap lokasi.
Master plan, infrastruktur apa saja yg harus di bangun.
Baru di buat Amdal dan melibatkan masyarakat disekitar lokasi yg berdampak negatif apa? Baru dibuat kajian utk mengurangi dampak negatif yg terjadi."
"3179"	"Pemerintah tuh janji bohong melulu,tipu kami masyarakat kecil,kami sdh muak,mau muntah rasanya dengar tipu kalian."
"3180"	"Pemikiran masih primitif"
"3181"	"Pemindahan ibukota pasti akan berdampak kepada seluruh borneo, termasuk sabak dan sarawak"
"3182"	"Pemindahan IKN ke Kalimantan bukan solusi, hanya membawa / membuat \"masalah\" Di IKN yg lama ke Kalimantan. 

Saya ada lihat video narasi sebelumnya mengenai lokasi yg kelak akan di jadikan IKN, masalah banjir di daerah pesisir, dan masalah kekeringan, hanya akan MEMBUAT IKN yang baru suatu saat nanti menjadi Jakarta versi 2."
"3183"	"Perawakan serakah.
Alhasil penghuni KPK👍"
"3184"	"Perencanaan pembangunan itu ada Top down dan button up  utk yg skala besar dan jangkauan jauh itu pimpinan yg mengusulkan dan merencanakan nya utk skala kecil dan lokal rakyat yg tahu kebutuhan dan keinginan . Utk skala besar pimpinan putus dulu baru sosialisasi kan dan melibatkan masyarakat sekitar wilayah tersebut, tdk khawatir masalah pembebasan lahan pemerintah patuh dan taat hukum, lihat pembangunan jalan tol pakanbaru Padang sampai saat ini tdk berjalan lancar akibat pembebasan lahan."
"3185"	"Perencanaan yg ugal² an 😎"
"3186"	"Pesawat mau jatuh saja ajak berunding dulu. Ini tipikal pengamat dan para pencundang."
"3187"	"pindah ibu kota Negara, lebih cepat lebih baik"
"3188"	"Pintar sekali pola pikir Dominisator Jatam ini"
"3189"	"Proyek rawan korupsi ... KPK terus kawal‼️"
"3190"	"PSU?"
"3191"	"pusat belum punya rencana yang diampaikan ke bawah ,,bupati nya bingung mau menyampaikan apa ke masyarakatnya,, start menit ke 2.00"
"3192"	"RAKUUSSS"
"3193"	"Rakyat Betawi dulu juga begitu, lama2 di geser keluar ibukota krn gk punya kekuatan ekonomi... 
Rakyat Paser Harus kuat Ekonomi jika gak mau digeser... Saatnya MAJU saudaraku"
"3194"	"Rakyat itu mikirnya instan tapi seorang pemimpin mikirnya panjannnnng."
"3195"	"Rumah sakit akan banyak , sekolah2 akan banyak dam bagus jika pembangunan IKN ini berlangsung. Itu sedikit iming2 dr pemerintah.. pertanyaan saya ,,\"Apakah bisa warga masyarakat bawah sekitar masuk ke rumah sakit2 bagus, ke sekolah2 bagus? Itu yg perlu di pastikan ... Kalo memang hak konstitusi dipenuhi betul2 oleh pemerintah... Mengapa harus nunggu di bangun IKN trlebih dahulu untuk mendapat RS dan Skolah2 banyak dan bagus di daerah itu ? \"."
"3196"	"S7"
"3197"	"Salam"
"3198"	"SALAM SEJAHTRA SALAM MENGENAI HATI PERASAAN MASYARAKAT YAH COBAHLAH BERADAPTASI YG BARU TRANSMIGRASI YAH MENCAKUP SOSIAL/ADAP TASI ATAU BERADAP YG BARU ITU INDAH, BERHIMPUN, MEMBIMBING/MENGARAHKAN, MEMBINAH/MENUNTUN, MASYARAKAT PADA SUATU DAERAH KEDAERAH YG LEBIH LAYAK MASYA ALLAH SWT COBALAH INI YAH ASALKAN ADILKAN MASYA RAKAT ITU SERTA TAMPA DIBALUT SERAKAH SALAM KALIAN TAU SERAKAH ITU ITULAH KERUGIAN ITU SENDIRI YAH SALAM KAULAM SALAM BERBAHGIALAH SALAM."
"3199"	"salut sama mata najwa membahas soal ini."
"3200"	"Salut sama Mbak Najwa melihat sisi lain impak IKN dari warga sekitar"
"3201"	"Satu sisi memang dampak nya akan merugikan utk alam dan warga.. tapi di satu sisi kaltim harus rela menyerahkannya utk negara.. karena masalah pemerintah pusat sudah urgent tdk mungkin bisa bertahan di jakarta yg terancam bencana bahkan tenggelam"
"3202"	"Saya bingungnya koq Mata Najwa tidak membahas atau membandingkan sisi positif lainx, sebagaimana jika suatu Daerah dibangun Infra Struktur apa lagi secara Masive, atau setidaknya bercermin pada Negara² yg sukses membangun IKN barunya. Ini malah kesannya Narasi dan Intonasi yg dibangun Mba Nana, seolah-olah Mba Nana dan Timnya tidak terpikirkan Dampak-dampak positif tsb?! Malah berkali-kali \"MEMPERTEGAS\" dampak² negatif yg bahkan beberapa belum tentu juga terjadi (seperti kebudayaan² atau ke-Arifan Lokal daerah PPU akan tergerus).
Mba Nana... Come on... Sy yakin Mba dan Tim Mata Najwa tau setiap Kebijakan akan ada Pro dan Kontra. Pemindahan IKN sudah di wacanakan pada jaman Soekarno hingga SBY, dan nnt di Jaman Jokowi-lah baru dimulai Pelaksanaanx itu juga Sy yakin bersama jajaran Menterinya (apa lagi di situ ada Pak Basuki), sudah memikirkan dan merencakan secara matang sebelum memutuskan.
Dimanapun Daerah yg ditunjuk jd IKN baru masalah² dan Reaksi Masyarakat Setempat akan sama Persis dgn yg ditemukan @Matanajwa bersama Tim. 
PPU adalah Keputusan Terbaik yg di Putuskan Jokowi utk MEWUJUDKAN Impian dan Rencana Presiden² sebelumnya yakni terbangunnya IBU KOTA NEGARA BARU!"
"3203"	"Saya ga tau ilmunya.. Tapi saya sangat merasakan khawatiran itu, pdhl saya bukan tinggal di sana. Apalagi di part sebelumnya mereka bilang khawatir kalah saing dengan orang2 jawa dan sumatra 💔"
"3204"	"Saya gak setuju sama mbak Najwa, karena dia ngomong gak sesuai fakta yg ada, dia tau persis ngomong Pak Pati,bukan Bu Pati, tp kenapa anda terus mengulang ulang ngomong Bupati.itu perlu klarifikasi lagi mbak ya😀😀😀"
"3205"	"Saya kira bupati dipilih rakyat lantas membela hak\" rakyat eh ternyata buzzer 🤭🤭🤭"
"3206"	"Saya koq gagal fokus sama bupatinya....kayak habis nyabu dech gayanya...😊😊😊"
"3207"	"Saya pernah korban janji pemda kabupaten padang pariaman masalah tanah yg dbagun smp 5negri lubuk alung"
"3208"	"Saya sebagai masyarakat KALTIM mau mengambil pendidikan hingga S-3 sulit sekali oleh pembiayaan. Bagaimana pemuda KALTIM mau berkompetisi dengan pemuda luar pulau KALTIM. Beasiswa KALTIM TUNTAS tak sebanding dengan upaya pemuda KALTIM yg antusias dalam meningkatkan kualitasnya."
"3209"	"saya setuju pak ... saya 10thn dsna kbnyakan mereka cma berpikir bwt apa sklah tinggi2... bwt apa kerja d luar ... karna mereka hanya berpikir ortu mereka mampu jdilah merka mlas bersaing .... klo mslah dri aspek fasiltas yg ada sangt minim karna oknum2 mikirkn dri pribadi.... bnyak jga yg kerja dluar merka bersaing ttap sukses"
"3210"	"Saya setuju sama yg baju hitam ini"
"3211"	"Saya Slankers sepaku sempat nyari mobilnya MBK Najwa cma gk ketemu"
"3212"	"Saya warga asli penajam Paser Utara sangat senang kalau jadi ibu kota karna pekerjaan makin banyak"
"3213"	"Sayang amat y indah dan hijau nya alam"
"3214"	"sayang banget pohon ditebangin"
"3215"	"Sayang banget yg tadinya hijau berubah jadi gedung2 tinggi😭
Tambah sekarat bumi ini😭"
"3216"	"Sayang bgt ya, ternyata dia koruptor"
"3217"	"Sdh kena OTT kpk wkwkwkw"
"3218"	"Sebagai warga penajam, kaltim. Saya sangat setuju ibukota negara pindah kesini. Sarana infrastruktur sdh mulai terbangun. Jika ibukota tidak pindah kesini, perkembangan pastinya jadi lamban"
"3219"	"Sebaiknya jangan berfikir bahwa masyarakat lokal hanya menjadi pemimpin tapi pemerintah harus memberikan pengetahuan lebih untuk masyarakat lokal agar lebih siap menghadapi ibu kota baru 
Dan sy berharap ibu kota Baru terus di lanjutkan pembangunannya 
Demi kemajuan negara kita Indonesia 
Harus di ingat kita Indonesia itu belum punya ibu kota negara 
Yg sekarang di sebut ibu kota negara itu bukan punya kita melainkan peninggalan zaman penjajahan dahulu"
"3220"	"Sebelum ada pemerintah sudah ada suku suku.. Sekarang, pemerintah ngawur mau nggeser tanah adat.. Bejat"
"3221"	"SEBELUM jd BUPATI Dia dah Kaya... Sprtx oknum2 di Kalimantan BANYAK yg S*rik D*ngki sm pak Bupati.... 😂😂😂😂😂
IKN itu PROYEK PUSAT di Tangani Bapennas yg Dominasi org2 di Jawa dan Aseng 😂😂😂😂😂"
"3222"	"Sebelum OTT KPK ya?"
"3223"	"Sebenarnya jika Kalimantan Timur menolak daerahnya menjadi IKN, semua provinsi lain dg senang hati mengajukan diri menjadi IKN 😂"
"3224"	"sebenarnya mereka tidak klah saing sma daerah jwa n sumatra tetapi lahan pekerjanya susah karna cma berharapa dri sawit.. aq yakin klo mereka berani bersaing pasti mereka maju"
"3225"	"Sebenarnya saya tidak setuju ibukota terlalu jauh di pindahkan... Asli ga setuju...
Cuma saya menyayangkan argumen 
\" Apakah kita dapat bersaing ?? \" 
\" Kita selalu kalah dengan pendatang \"
Please pemerintah daerah tolong perhatikan Pendidikan, mental dan berikan kesempatan seluas-luasnya bagi masyarakat Nya...
Masyarakat yg merasa di tekan tidak  akan bergerak ke arah yg positif karena terlalu banyak ke hawatiran"
"3226"	"Sebetulnya yang \"masyarakat sesungguhnya\" inginkan adalah pendekatan emosi, kekhawatiran itu sangat wajar, namun bagaimana pemerintah baik pemerintah pusat maupun daerah menjebatani antara harapan masyarakat lokal dengan visi misi pemerintah, kalo berbicara mengenai mafia tanah dsb memang pertu ketegasan, akan tetapi kaidah-kaidah kemanusian juga perlu diperhatikan termasuk pendekan emosional masyarakat yang notabene mereka sudah lahir, besar dan merasa memiliki tanah kelahiran  mereka yang diwarisi oleh nenek moyang mereka"
"3227"	"Sedih rasanya hutanku akan hilang 😢"
"3228"	"Sedih sekali, ternyata terjaring OTT KPK."
"3229"	"Seharusnya masyarakat lebih optimis maju  dan lebih baik dg IKN, kenapa 
justru yang dihembuskan isyu pesimisme masyarakat.
🤦🤦🤦🤦"
"3230"	"Seharusnya pemerintah memang bertanya kepada masyarakat, kebutuhannya apa, bukan malah inisiatif tapi salah kaprah, karena kebutuhan masyarakat tidak sepert yang pemerintah inisiasikan"
"3231"	"sekarang aja honor guru swasta dari paud -smp....baru cair 2 bulan.... 😭😭"
"3232"	"sekarang bupatinya kena OTT KPK ya?"
"3233"	"Sekarang masih, entah nanti kalo proyek berjalan."
"3234"	"Sekarang udah ketangkap kpk"
"3235"	"Semangat pemerataan ya ga tercapai kalau begitu, justru akan banyak resistensi. Toh kalau di Jawa sudah ada Jakarta, kenapa menghamburkan uang lagi untuk IKN baru?"
"3236"	"semoga indonesia maju, program ibu kota baru lancar, dan penyaluran hak rakyat bisa di lakukan dengan baik. amin, indonesia maju seluruh daerahnya, jangan cuma java centris."
"3237"	"Semua digelapkan oleh \"CUAANNN\""
"3238"	"Serba salah mau ngomong keras masuk tv 😄"
"3239"	"serius2 liat komen yg lain. Eh baca komen ini bikin ngakak parah woi"
"3240"	"setiap pembangunan infrastruktur pasti ada dampaknya baik positif maupun negatif .  tingal mengkaji  lebih banyak dampak apa yg terjadi..bila di bangun   klo positif lanjutkan  klo negatif..ya harus di evaluasi ulang"
"3241"	"Setiap program pasti ada uang selipan. Jadi ya masyarakat mau berpendapat percuma.."
"3242"	"Setuju banget statement \" harusnya mendengarkan rakyat, bukan mendengarkan pemerintah pusat\""
"3243"	"Setuju bupati ... !!!!!! Negara berfikir masa depan...bukan ekonomi sehari dua hari"
"3244"	"setuju dgn pak Pradarma
terlalu terburu2 dgn pemindahan ibukota ini"
"3245"	"Setuju ekonomi yg dipilih masyarakat. Bukan ekonomi yg dipilihkan."
"3246"	"Setuju sih bang."
"3247"	"Setuju... Penajam dan sekitarnya meren, Balikpapan Ok, Kutai kertanegara mantab.... layak jadi IKN"
"3248"	"Siapa yg kesini karna liat berita dia ketangkep KPK 😁"
"3249"	"siapa yg kesini setelah KPK?😂😂"
"3250"	"Siapa yg kesini setelah ott kpk? Wkwkwkk"
"3251"	"Siapa yg nonton kembali episode ini pasca OTT KPK terhadap Bupati AGM??"
"3252"	"Siaran yg jauh lebih berbobot dari pada siaran\"n yang lain 👍 😂
#HidupMbaNana 💪"
"3253"	"Silakan aja, hahaha"
"3254"	"Skrg dia dicyduk KPK mbak najwa 🙂🙂"
"3255"	"Skrng mau buang samph aja susah ..
Apalagi jadi ikn.."
